min	max	std	count	25percent	75percent	50percent
Arithmancy : 	-24370.0	104956.0	2653.078498313019	1566	38516.0	60828.0	49026.0
Astronomy : 	-966.7405456412164	1016.2119403873959	25.671414277971063	1568	-489.4937773271154	525.9095401342299	261.6447314070159
Herbology : 	-10.295662748653244	11.612895082210851	0.29345710140370385	1567	-4.304245472726978	5.4210456374755775	3.4690121044769087
Defense Against the Dark Arts : 	-10.16211940387396	9.667405456412162	0.24413885552531678	1569	-5.243927519144191	4.904680078747834	-2.5893416144228647
Divination : 	-8.727	10.032	0.25399503326458356	1561	3.1010000000000004	5.6670000000000025	4.624
Muggle Studies : 	-1086.4968348887983	1092.3886105728684	27.622233304064498	1565	-577.5752678015917	254.99485732415616	-419.16429373366526
Ancient Runes : 	283.8696087336624	745.3962198761234	18.848153569258223	1565	397.54290877491064	597.4922295175508	463.91830514671324
History of Magic : 	-8.858992991610515	11.889712754042707	0.3014161832678565	1557	2.223745239981043	5.8252416563826825	4.378175538816984
Transfiguration : 	906.6273196915248	1098.9582005409077	27.779473040129663	1566	1026.324832138678	1058.445387777596	1045.538819375854
Potions : 	-4.697483767872527	13.536762124994421	0.3417459099095225	1570	3.6524416604321717	8.248788657581947	5.881685623480898
Care of Magical Creatures : 	-3.313675764124477	3.0565457738978123	0.07741192130370551	1560	-0.6709955346526018	0.5944463060546361	-0.04329621455366976
Charms : 	-261.04892	-225.42813999999998	5.63746548331646	1600	-250.64727000000002	-232.53675	-244.86751
Flying : 	-181.47	279.07	6.978931256892438	1600	-41.84	50.89	-2.51
